"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0021206930","0240","2018-11-20T03:40:00.000","0","PARAMO GUERRERO  - AUT","CUNDINAMARCA","ZIPAQUIRÁ","ALTO MAGDALENA","5.086444444","-74.02216667","Precipitacion","mm"
"0021015502","0240","2018-01-23T22:20:00.000","0","SAN AGUSTIN  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.851416667","-76.30433056","Precipitacion","mm"
"0021015070","0240","2007-04-24T02:40:00.000","0","LOS GUACHAROS  - AUT","HUILA","PALESTINA","ALTO MAGDALENA","1.675833","-76.106841","Precipitacion","mm"
"0026125505","0240","2017-05-23T07:50:00.000","0","LA BELLA  - AUT","QUINDÍO","CALARCÁ","CAUCA","4.501111111","-75.67138889","Precipitacion","mm"
"0021201980","0240","2009-01-30T17:50:00.000","0","CERRO GUADALUPE - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.05","Precipitacion","mm"
"0015015120","0240","2012-11-16T19:20:00.000","0","UNIVERSIDAD TECNOLOGICA  - AUT","MAGDALENA","SANTA MARTA","CARIBE - GUAJIRA","11.22305556","-74.18591667","Precipitacion","mm"
"0015015120","0240","2014-11-27T08:03:00.000","0","UNIVERSIDAD TECNOLOGICA  - AUT","MAGDALENA","SANTA MARTA","CARIBE - GUAJIRA","11.22305556","-74.18591667","Precipitacion","mm"
"0037015501","0240","2018-01-26T14:50:00.000","0","LABATECA  - AUT","NORTE DE SANTANDER","LABATECA","ARAUCA","7.296058333","-72.49772778","Precipitacion","mm"
"0029035080","0240","2019-01-12T16:50:00.000","0","NORMAL MANATI  - AUT","ATLANTICO","MANATÍ","BAJO MAGDALENA","10.45358333","-74.95463889","Precipitacion","mm"
"0022045502","0240","2018-01-29T11:00:00.000","0","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Precipitacion","mm"
"0021209920","0240","2015-05-19T13:30:00.000","0","SANTA ROSITA - AUT","CUNDINAMARCA","SUESCA","ALTO MAGDALENA","5.19225","-73.77905556","Precipitacion","mm"
"0025020470","0240","2018-09-25T11:50:00.000","0","CHINU - LA MOJANA TX GPRS/GOES","CÓRDOBA","CHINÚ","BAJO MAGDALENA- CAUCA -SAN JORGE","9.118","-75.393","Precipitacion","mm"
"0056015010","0240","2018-12-13T11:20:00.000","0","PR CHOCO: PANAMERICANA","CHOCÓ","BAHÍA SOLANO (MUTIS)","PACÍFICO - DIRECTOS","6.223","-77.404","Precipitacion","mm"
"1602500044","0240","2019-08-05T12:40:00.000","0","GRAMALOTE - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.913166667","-72.803027778","Precipitacion","mm"
"0024035390","0240","2019-08-10T22:20:00.000","0","PARAMO ALMORZADERO  - AUT","SANTANDER","CERRITO","SOGAMOSO","6.945388889","-72.69633333","Precipitacion","mm"
"0021167080","0240","2010-07-21T15:50:00.000","0","LA MORA - AUT","TOLIMA","PRADO","ALTO MAGDALENA","3.725194444","-74.82644444","Precipitacion","mm"
"0026125507","0240","2017-08-04T04:10:00.000","0","ARTURO GOMEZ  - AUT","VALLE DEL CAUCA","ALCALÁ","CAUCA","4.671388889","-75.77721944","Precipitacion","mm"
"0026155270","0240","2017-03-04T23:40:00.000","0","SAN ANTONIO CALDAS - AUT","CALDAS","VILLAMARIA","CAUCA","4.886611111","-75.42897222","Precipitacion","mm"
"0021205012","0240","2012-02-18T02:50:00.000","0","UNIVERSIDAD NACIONAL  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.638083333","-74.08908333","Precipitacion","mm"
"0021202180","0240","2012-01-10T07:40:00.000","0","QUIBA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.543","-74.156","Precipitacion","mm"
"3602700101","0240","2019-04-16T11:50:00.000","0","SAN SALVADOR - AUT","ARAUCA","TAME","CASANARE","6.227680556","-71.618483333","Precipitacion","mm"
"2120000103","0240","2019-05-19T08:01:00.000","0","CERRO NORTE - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.733","-74.019","Precipitacion","mm"
"0035027520","0240","2017-11-09T01:40:00.000","0","BOCATOMA EAAB - AUT","CUNDINAMARCA","LA CALERA","META","4.661027778","-73.833333333","Precipitacion","mm"
"0026175501","0240","2019-03-07T20:50:00.000","0","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Precipitacion","mm"
"0026125505","0240","2019-02-27T22:30:00.000","0.1","LA BELLA  - AUT","QUINDÍO","CALARCÁ","CAUCA","4.501111111","-75.67138889","Precipitacion","mm"
"0021115501","0240","2018-07-10T00:45:00.000","0","TELLO  - AUT","HUILA","TELLO","ALTO MAGDALENA","2.960666667","-75.02849722","Precipitacion","mm"
"0032067030","0240","2019-03-23T04:10:00.000","0","PUERTO ANGOSTURAS  - AUT","META","CUBARRAL","GUAVIARE","3.792666667","-73.92247222","Precipitacion","mm"
"2801500078","0240","2019-05-19T03:10:00.000","0","HATICO DE LOS INDIOS - AUT","LA GUAJIRA","SAN JUAN DEL CESAR","CESAR","10.860305556","-73.114222222","Precipitacion","mm"
"0013095010","0240","2008-01-04T07:30:00.000","0","COVEÑAS - DIMAR","SUCRE","TOLÚ","CARIBE - LITORAL","9.383","-75.667","Precipitacion","mm"
"0026065502","0240","2019-04-15T06:10:00.000","0.1","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Precipitacion","mm"
"0026195501","0240","2019-01-24T01:40:00.000","0","ANDES  - AUT","ANTIOQUIA","ANDES","CAUCA","5.660108333","-75.91413889","Precipitacion","mm"
"0036037020","0240","2018-11-10T06:50:00.000","0","ESTACION HIDROMETRICA QUEBRADA LA GALLINAZA","ARAUCA","TAME","CASANARE","6.486738889","-70.13429444","Precipitacion","mm"
"0021137010","0240","2015-03-12T04:10:00.000","0","PURIFICACION","TOLIMA","PURIFICACIÓN","ALTO MAGDALENA","3.85","-74.936","Precipitacion","mm"
"0026165501","0240","2018-01-06T10:40:00.000","0","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Precipitacion","mm"
"0012015100","0240","2011-07-05T13:40:00.000","0","PISTA INDIRA - AUT","ANTIOQUIA","TURBO","CARIBE - LITORAL","7.94075","-76.69616667","Precipitacion","mm"
"0011159010","0240","2009-11-08T09:00:00.000","0","CAPURGANA - TX GPRS","CHOCÓ","ACANDÍ","ATRATO - DARIÉN","8.616","-77.331","Precipitacion","mm"
"0026125503","0240","2019-08-21T05:35:00.000","0","LA SIRENA  - AUT","VALLE DEL CAUCA","SEVILLA","CAUCA","4.285","-75.9025","Precipitacion","mm"
"0021209920","0240","2014-07-08T06:20:00.000","0","SANTA ROSITA - AUT","CUNDINAMARCA","SUESCA","ALTO MAGDALENA","5.19225","-73.77905556","Precipitacion","mm"
"0021202250","0240","2010-02-26T07:05:00.000","0","DOÑA JUANA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.5","-74.133","Precipitacion","mm"
"0051025090","0240","2017-07-20T16:50:00.000","0","GRANJA MIRA","NARINO","TUMACO","MIRA","1.55","-78.696","Precipitacion","mm"
"0023035030","0240","2011-09-16T11:20:00.000","0","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5.492861111","-74.658","Precipitacion","mm"
"0021050090","0240","2019-07-06T16:30:00.000","0","NATAGA  - AUT","HUILA","NÁTAGA","ALTO MAGDALENA","2.551444444","-75.8065","Precipitacion","mm"
"0026155250","0240","2019-05-20T12:30:00.000","1.1","PARAMO CONEJERAS  - AUT","CALDAS","VILLAMARIA","CAUCA","4.829805556","-75.37583333","Precipitacion","mm"
"0021195190","0240","2011-05-04T17:10:00.000","0","PASCA - AUT","CUNDINAMARCA","PASCA","ALTO MAGDALENA","4.310111111","-74.31175","Precipitacion","mm"
"0021117110","0240","2016-04-24T12:20:00.000","0","MOTILON  - AUT","HUILA","RIVERA","ALTO MAGDALENA","2.805583333","-75.08555556","Precipitacion","mm"
"2120000106","0240","2019-08-15T04:39:00.000","0","GRAN BRETAÑA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.512","-74.164","Precipitacion","mm"
